id,water,Classified_water ,water_adjust,uv,UV adjust,Classified UV,area,Classified_area,fertilizer_usage,Fret_use_norm,yield,pesticides,Classifed_pesticides,Pest_norm,region,categories, y_per_area , y_per_area_norm,Cost Values,Cost Values_norm,Profit ratio,Classified PR
99,1.493,1,1.493,78.034,78.034,3,6.068,3,3,0.6,66.599,2.982,2,0.311830216,1,b,10.97544496,0.75,1.001587414,0.36,0.39,3
958,1.685,1,1.685,75.248,75.248,3,6.52,3,5,1,88.759,3.672,2,0.384324438,1,d,13.61334356,0.95,1.486818799,0.57,0.38,3
132,1.567,1,1.567,67.19,67.19,3,8.525,3,4,0.8,99.703,2.364,2,0.246900609,3,"c,b,a",11.69536657,0.8,1.141566922,0.42,0.38,3
112,1.11,1,1.11,79.742,79.742,3,5.594,2,3,0.6,64.496,4.515,2,0.472893465,2,"c,b,d",11.52949589,0.79,1.137242676,0.42,0.37,3
924,1.54,1,1.54,78.101,78.101,3,6.583,3,3,0.6,76.347,4.409,2,0.461756672,2,"c,b,a",11.59759988,0.8,1.154631821,0.43,0.37,3
942,1.954,1,1.954,77.244,77.244,3,6.229,3,1,0.2,54.715,3.222,2,0.337045598,2,"c,a",8.783913951,0.58,0.657385256,0.22,0.36,3
703,1.613,1,1.613,72.889,72.889,3,7.186,3,0,0,55.694,3.565,2,0.37308258,2,"a,d,b",7.750347899,0.5,0.470800505,0.14,0.36,3
536,9.43,3,9.43,68.497,68.497,3,8.624,3,2,0.4,108.664,3.323,2,0.347657071,1,d,12.60018553,0.87,1.363950026,0.52,0.36,3
156,1.188,1,1.188,92.868,92.868,4,8.315,3,3,0.6,96.516,4.906,2,0.513973524,2,"c,a,b",11.6074564,0.8,1.183497207,0.44,0.36,3
834,1.76,1,1.76,79.507,79.507,3,6.223,3,3,0.6,61.788,1.733,1,0.180605169,3,"d,a",9.928973164,0.67,0.888074985,0.31,0.35,3
17,1.952,1,1.952,,80,3,5.957,2,5,1,80.753,4.217,2,0.441584366,3,c,13.55598456,0.95,1.561791345,0.6,0.35,3
502,1.681,1,1.681,45.264,45.264,2,3.476,2,4,0.8,43.202,4.41,2,0.461861736,2,"a,c,d",12.42865362,0.86,1.364090739,0.52,0.34,3
413,9.717,3,9.717,,100,4,3.784,2,2,0.4,46.109,2.752,2,0.287665476,2,c,12.1852537,0.84,1.322997836,0.5,0.34,3
509,8.688,3,8.688,66.108,66.108,3,6.187,3,2,0.4,70.875,2.174,2,0.226938432,3,a,11.45547115,0.78,1.194007558,0.44,0.34,3
6,1.679,1,1.679,79.767,79.767,3,6.311,3,1,0.2,43.157,0.458,1,0.046648456,2,a,6.838377436,0.43,0.34874478,0.09,0.34,3
287,9.28,3,9.28,66.085,66.085,3,5.994,2,2,0.4,72.525,3.215,2,0.336310149,1,a,12.0995996,0.83,1.342652195,0.51,0.33,3
726,1.31,1,1.31,79.65,79.65,3,4.407,2,3,0.6,39.464,0.931,1,0.09634377,4,"d,b,c",8.954844565,0.59,0.773960859,0.27,0.32,3
142,9.817,3,9.817,,70,3,3.546,2,3,0.6,47.086,3.146,2,0.329060727,4,"d,c",13.2786238,0.93,1.571027027,0.6,0.32,3
651,3.612,1,3.612,65.987,65.987,3,6.892,3,0,0,52.624,2.927,2,0.306051692,2,c,7.635519443,0.49,0.536382062,0.17,0.32,3
336,0.842,1,0.842,80.154,80.154,3,6.619,3,1,0.2,52.916,3.406,2,0.35637739,1,b,7.994561112,0.52,0.602947644,0.19,0.32,3
355,9.355,3,9.355,66.235,66.235,3,6.164,3,4,0.8,84.764,2.394,2,0.250052532,2,a,13.75146009,0.96,1.661370032,0.64,0.32,3
176,1.284,1,1.284,79.466,79.466,3,7.005,3,4,0.8,72.088,1.474,1,0.15339357,2,"c,b,a",10.29093505,0.69,1.029285835,0.37,0.32,3
278,1.265,1,1.265,66.906,66.906,3,5.984,2,2,0.4,65.116,6.36,3,0.666736709,2,d,10.88168449,0.74,1.141368526,0.42,0.32,3
49,0.14,1,0.14,80.462,80.462,3,7.528,3,1,0.2,60.104,4.054,2,0.42445892,0,"c,a",7.984059511,0.52,0.62445892,0.2,0.31,3
362,9.295,3,9.295,68.929,68.929,3,2.108,1,1,0.2,23.033,3.586,2,0.375288926,3,d,10.92647059,0.74,1.182626063,0.44,0.3,3
207,8.889,3,8.889,62.933,62.933,2,2.615,1,1,0.2,30.533,5.154,3,0.540029418,3,a,11.67609943,0.8,1.320432761,0.5,0.3,3
833,1.821,1,1.821,67.255,67.255,3,7.737,3,1,0.2,61.919,3.266,2,0.341668418,6,a,8.002972728,0.52,0.653184936,0.22,0.3,3
694,1.27,1,1.27,53.44,53.44,2,7.17,3,3,0.6,61.716,0.879,1,0.090880437,3,"d,b,c",8.607531381,0.56,0.76584395,0.26,0.3,3
181,2.756,1,2.756,70.658,70.658,3,12.236,5,0,0,66.051,0.059,1,0.004727884,2,"b,d",5.39808761,0.31,0.178271734,0.01,0.3,3
568,4.652,2,4.652,,90,4,6.677,3,2,0.4,67.548,3.301,2,0.345345661,3,"d,b,c",10.11651939,0.68,1.044668999,0.38,0.3,3
905,11.151,3,11.151,64.692,64.692,2,5.763,2,1,0.2,62.495,2.38,2,0.248581635,2,a,10.84417838,0.74,1.179044684,0.44,0.3,3
627,1.647,1,1.647,74.201,74.201,3,4.116,2,3,0.6,34.399,0.249,1,0.024690061,1,"d,a,c,b",8.357385811,0.54,0.724663525,0.25,0.3,3
571,4.738,2,4.738,83.457,83.457,3,12.809,5,3,0.6,143.218,3.286,2,0.3437697,4,b,11.18104458,0.76,1.248798225,0.47,0.3,3
900,5.1,2,5.1,59.366,59.366,2,8.267,3,0,0,64.58,2.889,2,0.302059256,1,"c,a",7.811781783,0.5,0.631102642,0.21,0.3,3
324,9.13,3,9.13,59.391,59.391,2,3.804,2,4,0.8,50.729,2.373,2,0.247846186,1,"a,b",13.33569926,0.93,1.644237323,0.63,0.3,3
157,,1,3,69.114,69.114,3,12.717,5,4,0.8,137.596,1.9,1,0.198150872,2,"c,a,b",10.81984745,0.74,1.187881534,0.44,0.29,3
641,8.911,3,8.911,60.226,60.226,2,5.914,2,3,0.6,79.952,4.828,2,0.505778525,2,c,13.5191072,0.94,1.687641335,0.65,0.29,3
699,,1,2,84.523,84.523,3,7.622,3,1,0.2,63.585,3.969,2,0.415528472,3,"b,d",8.342298609,0.54,0.738919742,0.25,0.29,3
343,5.141,2,5.141,75.315,75.315,3,5.833,2,1,0.2,50.17,2.458,2,0.256776634,0,c,8.601062918,0.56,0.788539935,0.27,0.29,3
13,9.857,3,9.857,64.774,64.774,2,7.718,3,4,0.8,109.848,3.6,2,0.376759823,0,d,14.23270277,1,1.821379699,0.71,0.29,3
985,5.388,2,5.388,65.295,65.295,3,9.089,4,5,1,124.617,3.622,2,0.379071233,4,"c,d,b,a",13.71074926,0.96,1.727220364,0.67,0.29,3
266,1.713,1,1.713,65.983,65.983,3,11.689,4,0,0,88.559,4.839,2,0.50693423,4,"c,b,d,a",7.576268286,0.48,0.611286094,0.2,0.29,3
85,,1,4,55.074,55.074,2,10.41,4,4,0.8,119.564,2.638,2,0.27568817,3,"c,a,b",11.48549472,0.79,1.331758224,0.5,0.29,3
403,9.18,3,9.18,,100,4,4.986,2,2,0.4,52.428,1.503,1,0.156440429,1,a,10.51504212,0.71,1.156148535,0.43,0.28,3
771,9.827,3,9.827,63.155,63.155,2,6.066,3,1,0.2,71.577,5.25,3,0.55011557,0,a,11.79970326,0.81,1.392745264,0.53,0.28,3
808,8.758,3,8.758,,80,3,3.586,2,3,0.6,39.678,0.842,1,0.086993066,1,a,11.06469604,0.75,1.258705949,0.47,0.28,3
737,11.319,3,11.319,,70,3,7.53,3,2,0.4,97.228,4.361,2,0.456713595,2,c,12.91208499,0.9,1.598321662,0.61,0.28,3
604,7.643,2,7.643,67.181,67.181,3,3.993,2,2,0.4,45.206,3.919,2,0.410275268,2,"d,b",11.3213123,0.77,1.308019729,0.49,0.28,3
725,8.97,3,8.97,60.699,60.699,2,4.736,2,1,0.2,41.57,0.593,1,0.060832108,1,a,8.777449324,0.58,0.846608942,0.3,0.28,3
521,8.941,3,8.941,65.217,65.217,3,3.326,2,3,0.6,44.237,4.75,2,0.497583526,0,d,13.30036079,0.93,1.681436518,0.65,0.28,3
301,2.245,1,2.245,54.644,54.644,2,9.58,4,0,0,64.776,3.279,2,0.343034251,2,c,6.761586639,0.42,0.482678672,0.14,0.28,3
589,5.462,2,5.462,64.138,64.138,2,8.232,3,4,0.8,97.993,2.618,2,0.273586888,2,"d,c,a",11.90391156,0.82,1.426645134,0.54,0.28,3
981,3.57,1,3.57,74.09,74.09,3,6.572,3,0,0,49.189,3.732,2,0.390628283,2,c,7.484631771,0.48,0.618172399,0.2,0.28,3
304,11.845,3,11.845,67.533,67.533,3,4.814,2,2,0.4,60.183,3.496,2,0.365833158,3,d,12.50166182,0.87,1.542335745,0.59,0.27,3
164,3.398,1,3.398,77.448,77.448,3,9.679,4,0,0,64.774,2.576,2,0.269174196,2,d,6.692220271,0.42,0.485307936,0.14,0.27,3
257,5.34,2,5.34,66.956,66.956,3,9.973,4,2,0.4,99.643,3.302,2,0.345450725,4,c,9.991276446,0.67,1.090415565,0.4,0.27,3
532,4.179,2,4.179,95.403,95.403,4,10.354,4,1,0.2,92.065,4.045,2,0.423513343,4,"b,c",8.891732664,0.59,0.891458149,0.32,0.27,3
199,,2,6,61.039,61.039,2,6.806,3,2,0.4,78.449,5.616,3,0.588569027,2,d,11.52644725,0.79,1.377317866,0.52,0.27,3
106,12.55,3,12.55,63.518,63.518,2,3.845,2,1,0.2,45.793,4.065,2,0.425614625,3,a,11.90975293,0.82,1.448886484,0.55,0.27,3
311,6.497,2,6.497,70.258,70.258,3,8.89,3,5,1,123.868,3.822,2,0.400084051,4,"a,b",13.93340832,0.98,1.821803568,0.71,0.27,3
459,5.988,2,5.988,72.768,72.768,3,4.478,2,2,0.4,46.661,3.724,2,0.389787771,3,"b,d,a",10.4200536,0.7,1.177740537,0.44,0.27,3
767,11.29,3,11.29,,70,3,7.047,3,4,0.8,99.586,3.069,2,0.320970792,3,a,14.13168724,0.99,1.860655017,0.73,0.27,3
380,1.85,1,1.85,65.964,65.964,3,6.976,3,3,0.6,57.012,0.552,1,0.05652448,4,"d,c",8.172591743,0.53,0.769964841,0.26,0.27,3
696,1.339,1,1.339,79.693,79.693,3,11.448,4,3,0.6,106.153,2.879,2,0.301008615,1,d,9.272624039,0.62,0.980549547,0.35,0.26,3
927,5.312,2,5.312,65.494,65.494,3,5.537,2,3,0.6,62.844,4.028,2,0.421727254,1,a,11.34982843,0.78,1.364834591,0.52,0.26,3
465,1.964,1,1.964,67.294,67.294,3,10.096,4,2,0.4,84.766,2.924,2,0.305736499,4,b,8.395998415,0.55,0.826739551,0.29,0.26,3
842,3.983,1,3.983,77.509,77.509,3,4.69,2,3,0.6,45.96,2.203,2,0.229985291,2,"c,b",9.799573561,0.66,1.084927576,0.4,0.26,3
447,9.838,3,9.838,64.719,64.719,2,6.553,3,4,0.8,84.289,1.949,1,0.203299012,1,d,12.86265832,0.89,1.646658439,0.64,0.26,3
946,2.474,1,2.474,89.715,89.715,4,11.206,4,0,0,77.394,3.892,2,0.407438538,4,"d,c,b,a",6.906478672,0.43,0.562274679,0.18,0.26,3
809,6.585,2,6.585,83.134,83.134,3,4.805,2,3,0.6,57.542,4.434,2,0.464383274,4,"d,a",11.97544225,0.82,1.491940657,0.57,0.26,3
491,11.154,3,11.154,65.098,65.098,3,2.415,1,4,0.8,34.045,3.379,2,0.35354066,3,d,14.09730849,0.99,1.884202727,0.74,0.25,3
938,1.531,1,1.531,86.133,86.133,4,6.276,3,1,0.2,45.651,3.269,2,0.34198361,2,"b,c",7.273900574,0.46,0.634261705,0.21,0.25,3
293,9.346,3,9.346,64.719,64.719,2,2.797,1,2,0.4,28.066,1.256,1,0.130489599,0,d,10.03432249,0.67,1.141210044,0.42,0.25,3
857,4.216,2,4.216,72.42,72.42,3,10.412,4,0,0,75.061,3.372,2,0.352805211,2,"c,b,a",7.20908567,0.46,0.623204574,0.2,0.25,3
141,2.447,1,2.447,,80,3,8.039,3,0,0,46.293,1.964,1,0.204874974,1,c,5.758552059,0.34,0.357919952,0.09,0.25,3
913,3.167,1,3.167,76.784,76.784,3,8.091,3,1,0.2,60.83,2.683,2,0.280416054,2,"d,b,c",7.518230132,0.48,0.681225394,0.23,0.25,3
102,2.49,1,2.49,83.507,83.507,3,10.451,4,1,0.2,80.411,3.474,2,0.363521748,2,"c,b,a",7.694096259,0.49,0.71941932,0.24,0.25,3
273,4.444,2,4.444,64.701,64.701,2,4.687,2,3,0.6,51.513,4.196,2,0.439378021,3,"a,d,b",10.99061233,0.75,1.324902765,0.5,0.25,3
867,4.871,2,4.871,65.021,65.021,3,7.123,3,4,0.8,85.681,3.873,2,0.40544232,1,"b,a,c,d",12.02878001,0.83,1.519293985,0.58,0.25,3
461,2.392,1,2.392,75.588,75.588,3,10.831,4,1,0.2,86.776,4.145,2,0.434019752,2,b,8.01181793,0.52,0.783416064,0.27,0.25,3
593,8.71,3,8.71,63.37,63.37,2,5.281,2,2,0.4,51.147,1.189,1,0.123450305,2,d,9.685097519,0.65,1.091978897,0.4,0.25,3
270,4.74,2,4.74,76.784,76.784,3,3.302,2,1,0.2,27.918,3.456,2,0.361630595,2,"a,c",8.454875833,0.55,0.866791799,0.31,0.25,3
778,3.442,1,3.442,71.694,71.694,3,6.563,3,3,0.6,61.703,2.133,2,0.222630805,2,"c,a,b,d",9.401645589,0.63,1.041683478,0.38,0.25,3
558,1.287,1,1.287,75.498,75.498,3,10.322,4,3,0.6,108.961,5.515,3,0.577957554,1,"d,b,c,a",10.55619066,0.71,1.254048837,0.47,0.25,3
315,6.372,2,6.372,74.139,74.139,3,8.144,3,4,0.8,97.364,2.854,2,0.298382013,1,"a,c,b",11.95530452,0.82,1.511809106,0.58,0.25,3
477,6.891,2,6.891,67.972,67.972,3,7.925,3,4,0.8,99.159,3.535,2,0.369930658,4,"d,b,c,a",12.51217666,0.87,1.617787895,0.62,0.24,3
525,1.836,1,1.836,88.44,88.44,4,8.894,3,3,0.6,94.181,5.287,3,0.554002942,1,"d,b",10.58927367,0.72,1.266514551,0.47,0.24,3
184,3.429,1,3.429,70.942,70.942,3,9.029,4,0,0,61.571,3.414,2,0.357217903,2,c,6.819249086,0.43,0.575408164,0.18,0.24,3
320,0.312,1,0.312,67.7,67.7,3,5.726,2,1,0.2,33.178,1.738,1,0.18113049,3,c,5.794271743,0.35,0.392540865,0.1,0.24,3
795,2.53,1,2.53,70.783,70.783,3,7.308,3,2,0.4,64.891,3.849,2,0.402920782,2,"b,d,a",8.879447181,0.58,0.961471929,0.35,0.24,3
63,6.92,2,6.92,72.802,72.802,3,12.447,5,0,0,110.495,4.928,2,0.516284934,4,"c,b,a",8.877239495,0.58,0.966066014,0.35,0.24,3
275,2.778,1,2.778,71.524,71.524,3,10.4,4,0,0,69.606,3.747,2,0.392204245,3,"c,b,a",6.692884615,0.42,0.567207562,0.18,0.24,3
741,9.45,3,9.45,63.739,63.739,2,5.573,2,3,0.6,58.821,0.57,1,0.058415634,4,"d,c",10.55463844,0.71,1.276035376,0.48,0.24,3
517,0.237,1,0.237,82.551,82.551,3,7.609,3,1,0.2,38.776,0.675,1,0.069447363,3,"c,b",5.096070443,0.29,0.275882284,0.06,0.24,3
710,1.928,1,1.928,65.215,65.215,3,7.946,3,0,0,43.056,2.125,2,0.221790292,3,"b,c,a",5.418575384,0.32,0.340405126,0.08,0.23,3
916,7.514,2,7.514,99.142,99.142,4,10.335,4,4,0.8,129.108,3.345,2,0.349968481,1,"b,d",12.49230769,0.87,1.63915516,0.63,0.23,3
997,1.373,1,1.373,78.225,78.225,3,7.378,3,3,0.6,76.608,5.459,3,0.572073965,2,b,10.38330171,0.7,1.253870436,0.47,0.23,3
758,11.267,3,11.267,59.765,59.765,2,4.282,2,3,0.6,52.869,2.65,2,0.276948939,2,"d,c",12.34680056,0.85,1.615107357,0.62,0.23,3
52,2.562,1,2.562,71.158,71.158,3,8.002,3,0,0,51.531,3.577,2,0.374343349,4,c,6.439765059,0.4,0.535017358,0.17,0.23,3
8,9.857,3,9.857,61.683,61.683,2,5.24,2,1,0.2,57.811,5.09,3,0.533305316,1,a,11.03263359,0.75,1.377925192,0.52,0.23,3
932,4.294,2,4.294,72.557,72.557,3,5.716,2,3,0.6,54.932,2.313,2,0.241542341,2,"b,c,a,d",9.610216935,0.64,1.117116177,0.41,0.23,3
892,1.26,1,1.26,66.09,66.09,3,8.717,3,2,0.4,64.509,2.279,2,0.237970162,5,"d,b",7.400367099,0.47,0.712270281,0.24,0.23,3
190,1.474,1,1.474,54.196,54.196,2,5.473,2,3,0.6,48.216,2.722,2,0.284513553,1,"b,c,a,d",8.809793532,0.58,0.973010303,0.35,0.23,3
964,6.667,2,6.667,63.774,63.774,2,10.14,4,2,0.4,95.717,2.448,2,0.255725993,1,"a,d,b",9.439546351,0.63,1.088723207,0.4,0.23,3
537,6.731,2,6.731,93.95,93.95,4,5.869,2,3,0.6,64.845,3.329,2,0.348287455,1,d,11.04873062,0.75,1.38553039,0.52,0.23,3
704,0.76,1,0.76,57.93,57.93,2,6.313,3,0,0,40.826,4.822,2,0.50514814,2,"b,c,a,d",6.466972913,0.4,0.546278564,0.17,0.23,3
950,9.887,3,9.887,60.344,60.344,2,6.006,3,3,0.6,63.444,0.507,1,0.051796596,2,"a,b",10.56343656,0.72,1.298406653,0.49,0.23,3
727,,1,2,69.941,69.941,3,5.173,2,3,0.6,54.453,5.458,3,0.571968901,2,"b,d,c,a",10.52638701,0.71,1.295360171,0.49,0.23,3
154,2.853,1,2.853,95.767,95.767,4,6.612,3,0,0,40.011,2.835,2,0.296385795,2,"c,a",6.051270417,0.37,0.476364567,0.14,0.23,3
961,7.514,2,7.514,76.65,76.65,3,5.88,2,4,0.8,75.178,4.04,2,0.422988023,1,d,12.78537415,0.89,1.712174702,0.66,0.22,3
580,4.93,2,4.93,79.754,79.754,3,6.951,3,1,0.2,59.147,3.996,2,0.418365203,2,"a,c,b,d",8.509135376,0.56,0.936130892,0.33,0.22,3
179,3.43,1,3.43,75.704,75.704,3,10.79,4,0,0,78.623,4.722,2,0.494641731,2,c,7.28665431,0.46,0.712898332,0.24,0.22,3
347,5.513,2,5.513,65.351,65.351,3,9.49,4,0,0,64.422,2.543,2,0.265707081,2,"b,c",6.788408851,0.42,0.622148636,0.2,0.22,3
995,5.457,2,5.457,70.622,70.622,3,8.163,3,3,0.6,89.809,4.224,2,0.442319815,2,c,11.00196006,0.75,1.395046364,0.53,0.22,3
963,6.78,2,6.78,79.158,79.158,3,7.628,3,4,0.8,96.624,4.41,2,0.461861736,0,"d,b",12.66701626,0.88,1.702355301,0.66,0.22,3
495,3.929,1,3.929,65.443,65.443,3,8.945,3,4,0.8,92.784,2.208,2,0.230510611,4,"d,b,a",10.37272219,0.7,1.281870569,0.48,0.22,3
639,1.66,1,1.66,64.12,64.12,2,4.252,2,2,0.4,33.606,3.144,2,0.328850599,6,a,7.903574788,0.51,0.829686475,0.29,0.22,3
662,6.66,2,6.66,91.051,91.051,4,5.165,2,2,0.4,54.193,4.513,2,0.472683337,2,"d,b,a,c",10.49235237,0.71,1.305216175,0.49,0.22,3
815,5.89,2,5.89,58.062,58.062,2,10.496,4,0,0,74.895,2.957,2,0.309203614,1,"c,d",7.135575457,0.45,0.69065512,0.23,0.22,3
178,4.755,2,4.755,66.137,66.137,3,7.264,3,5,1,90.85,3.545,2,0.370981299,3,c,12.50688326,0.87,1.677137594,0.65,0.22,3
642,5.475,2,5.475,73.842,73.842,3,8.726,3,3,0.6,92.738,3.641,2,0.381067451,2,"a,b,c",10.62777905,0.72,1.334988109,0.5,0.22,3
716,5.752,2,5.752,76.791,76.791,3,2.391,1,3,0.6,26.004,3.963,2,0.414898088,2,"c,d,a",10.87578419,0.74,1.387194758,0.53,0.21,3
351,3.819,1,3.819,66.138,66.138,3,6.259,3,0,0,32.389,0.948,1,0.098129859,0,"d,b,c",5.174788305,0.3,0.342192484,0.08,0.21,3
358,5.79,2,5.79,68.354,68.354,3,9.327,4,0,0,73.35,4.406,2,0.461441479,3,"c,b",7.864265037,0.51,0.836259046,0.29,0.21,3
427,1.361,1,1.361,62.63,62.63,2,5.656,2,3,0.6,42.423,0.903,1,0.093401975,6,a,7.50053041,0.48,0.774402373,0.27,0.21,3
619,5.264,2,5.264,78.729,78.729,3,5.98,2,0,0,41.611,3.213,2,0.336100021,2,c,6.958361204,0.44,0.676023067,0.22,0.21,3
419,1.15,1,1.15,,80,3,15.487,5,3,0.6,125.578,2.111,2,0.220319395,4,b,8.108607219,0.53,0.887322181,0.31,0.21,3
423,4.41,2,4.41,71.244,71.244,3,6.388,3,1,0.2,51.494,3.778,2,0.395461231,1,b,8.061051972,0.52,0.878730437,0.31,0.21,3
107,3.516,1,3.516,83.826,83.826,3,8.897,3,4,0.8,90.445,2.311,2,0.241332213,2,"b,a,c",10.16578622,0.68,1.265294001,0.47,0.21,3
69,6.525,2,6.525,95.81,95.81,4,7.96,3,4,0.8,92.918,3.043,2,0.318239126,1,"a,b,c",11.67311558,0.8,1.541816146,0.59,0.21,3
226,6.15,2,6.15,64.557,64.557,2,7.052,3,3,0.6,80.942,4.844,2,0.50745955,0,"a,c,d,b",11.47787862,0.79,1.506159298,0.58,0.21,3
372,6.3,2,6.3,78.443,78.443,3,11.465,4,4,0.8,139.425,4.047,2,0.423723471,2,"c,b",12.16092455,0.84,1.632374128,0.63,0.21,3
599,6.263,2,6.263,94.207,94.207,4,7.121,3,5,1,85.985,2.03,2,0.211809204,3,d,12.07484904,0.83,1.618005303,0.62,0.21,3
172,2.76,1,2.76,67.572,67.572,3,12.161,5,3,0.6,113.477,3.272,2,0.342298802,4,c,9.331222761,0.62,1.11610801,0.41,0.21,3
643,2.756,1,2.756,70.307,70.307,3,6.495,3,2,0.4,56.732,4.137,2,0.433179239,1,"b,a,c",8.734719015,0.57,1.00672309,0.36,0.21,3
479,4.217,2,4.217,64.047,64.047,2,6.504,3,1,0.2,41.139,0.913,1,0.094452616,0,"b,c,a,d",6.325184502,0.39,0.564918319,0.18,0.21,3
991,7.83,2,7.83,84.647,84.647,3,2.155,1,4,0.8,27.507,4.163,2,0.435910906,2,"a,c,b",12.76426914,0.89,1.746060833,0.68,0.21,3
675,8.26,3,8.26,70.157,70.157,3,9.271,4,4,0.8,118.92,4.007,2,0.419520908,3,"d,b,c,a",12.82709524,0.89,1.758196773,0.68,0.21,3
579,3.958,1,3.958,89.84,89.84,4,6.59,3,1,0.2,52.247,3.904,2,0.408699307,4,c,7.928224583,0.51,0.861983106,0.3,0.21,3
115,7.6,2,7.6,73.851,73.851,3,6.85,3,4,0.8,82.601,3.106,2,0.324858163,1,"a,c,b,d",12.05854015,0.83,1.61975003,0.62,0.21,3
